№	ДОМА ИЗ БАЗЫ	ДОМА ИЗ ГИС ЖКХ	КОД ГИС-ФИАС	УПРАВЛЯЮЩАЯ ОРГАНИЗАЦИЯ
84	ДАХАДАЕВА  44	367000, Респ Дагестан, г Махачкала, ул Дахадаева, д. 44	54963b25-7303-407e-8df1-23f68977897c	"ООО ""УО-21"""
85	ДЗЕРЖИНСКОГО  14	367000, Респ Дагестан, г Махачкала, ул Дзержинского, д. 14	d15020da-6b5c-47a5-a370-04688cd6816b	УК - 22
86	ЖУРАВЛЕВА   4	367032, Респ Дагестан, г Махачкала, ул Журавлева, д. 4	93d3df10-b619-49a9-852d-d4e397e0b6a2	"ООО ""УК-3"""
87	ЗАМАНОВА   1	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 1	0e60af77-c777-4a82-b8b0-5af3264521a3	"ООО ""УК-3"""
88	ЗАМАНОВА   3	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 3	677b2952-c478-4bec-9149-3a15091a2760	"ТСЖ ""КРАСНОФЛОТСКАЯ"""
89	ЗАМАНОВА  24	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 24	17ffc57d-d859-4e6e-b0c8-cf9795081d2a	"ООО ""УК-3"""
90	ЗАМАНОВА  43А	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 43А	c00bbce3-ad20-4c8d-8cfe-3c5b3c67955e	"ООО ""УК-3"""
91	ЗАМАНОВА  43Б	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 43Б	5ea03867-1bdc-4914-b8db-3491c34b1545	"ООО ""УК-3"""
92	ЗАМАНОВА  47Б	367000, Респ Дагестан, г Махачкала, ул Левина, д. 46в	5db54af0-88c3-49c0-b8d2-4b592eb90646	"ООО ""УК-3"""
93	ЗАМАНОВА  47В	367000, Респ Дагестан, г Махачкала, ул Левина, д. 46б	26ee4a03-4a9f-4b49-8738-e87ef4bc5f3c	"ООО ""УК-3"""
94	ЗАМАНОВА  47Д	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 49б	1884d412-4399-4df9-9471-fff86903fc8d	"ООО ""УК-3"""
95	ЗАМАНОВА  47И	367000, Респ Дагестан, г Махачкала, ул Левина, д. 46а	30c44f2a-a8bb-4133-8fb7-216fe868615f	"ООО ""УК-3"""
96	ЗАМАНОВА  47Л	367000, Респ Дагестан, г Махачкала, ул Заманова, д. 49А	ce894f5e-3445-4e47-b5d7-02e5ddd47675	"ООО ""УК-3"""
97	ИРЧИ КАЗАКА  43	367030, Респ Дагестан, г Махачкала, ул Ирчи Казака, д. 43	97a737d2-6af7-402f-a27f-d836349e1495	"ООО ""УО-9"""
98	КЕРИМОВА КОРП 1   5	367009, Респ Дагестан, г Махачкала, ул Керимова, д. 5, к. 1	7792289b-f500-42f7-90f4-e4edc27e0719	"ООО ""УК-15"""
99	КЕРИМОВА КОРП 2   5	367009, Респ Дагестан, г Махачкала, ул Керимова, д. 5, к. 2	820f7b0e-06b2-4936-bfd6-6d963eb3c7dd	"ООО ""УК-15"""
100	КЕРИМОВА КОРП 3   5	367009, Респ Дагестан, г Махачкала, ул Керимова, д. 5, к. 3	b9aa0e94-2fcc-48f1-b15e-d662e955c85d	"ООО ""УК-15"""
101	КОСМОДЕМЬЯНСКОЙ   1	367010, Респ Дагестан, г Махачкала, ул Зои Космодемьянской, д. 1	05676f4e-b8f9-4869-9a1e-95ca57d9b0e4	"ООО ""УО- 20"""
102	КОСМОДЕМЬЯНСКОЙ  12А	367010, Респ Дагестан, г Махачкала, ул Зои Космодемьянской, д. 12А	d75e4553-8046-42e5-9925-3f057ac769b9	"ООО ""УО- 20"""
